Price,Close,High,Low,Open,Volume
2018-02-15,107.3085708618164,107.34945904437797,105.81215321677813,106.38456281799697,5606400
2018-02-16,108.87859344482422,109.94162393853502,106.98967645969692,107.08781060565317,7970100
2018-02-20,107.01419830322266,109.12390135107509,106.84248539687165,108.64962586180698,6563500
2018-02-21,106.22919464111328,108.2898242760957,106.18830645877094,106.95695936844976,6578000
2018-02-22,106.22919464111328,107.1368573888989,105.87757124575488,106.38456224762132,5732200
2018-02-23,107.95459747314453,108.00365831300023,106.31916959889072,106.37640308628087,5126800
2018-02-26,108.68701171875,109.78976169681178,107.80644919783626,108.3907492186656,6684400
2018-02-27,108.35781860351562,109.52640602774018,108.3002186366668,108.80221860935382,7158600
2018-02-28,106.88472747802734,108.90095204139367,106.87648994314341,108.58822708903182,7985900
2018-03-01,104.74504852294922,107.08222291853649,104.11960492300825,106.25104814920068,9424000
2018-03-02,106.01242065429688,106.2510706192752,104.44058320540458,104.44058320540458,6910400
2018-03-05,106.81066131591797,107.2303737988664,105.48571148306321,105.85604898148097,5799800
2018-03-06,105.51864624023438,107.148083666083,105.27175873759792,106.9834961833987,5546500
2018-03-07,106.1934585571289,106.43212108036761,104.73683987345505,104.90966489225619,6391700
2018-03-08,108.67876434326172,108.87627684451019,106.43211457939444,106.43211457939444,6423400
2018-03-09,110.11068725585938,110.12714976810517,108.26727515807501,109.04907496731308,7557800
2018-03-12,109.1478500366211,110.46456235171513,108.89273757494996,110.11069991964717,4942000
2018-03-13,110.56331634521484,111.41917865610307,109.82265395275157,110.11069142046807,9152300
2018-03-14,108.89273071289062,111.67429268060812,108.54708072384541,111.29574277979592,6770600
2018-03-15,109.50171661376953,110.47280406923426,109.01617916464691,109.08201666647669,6147200
2018-03-16,110.0119400024414,110.60446495332006,108.71169017063363,109.58401508242184,14233500
2018-03-19,107.1810302734375,109.8391556976921,106.45683013517468,109.74040569964627,6017000
2018-03-20,107.97925567626953,108.44833056246091,106.47325593926462,107.62538070992609,6214300
2018-03-21,107.96279907226562,109.27128639568033,107.5266366311274,108.1356115187142,5158700
2018-03-22,104.82735443115234,107.54308529329894,104.59692946718214,107.37027284893067,7560100
2018-03-23,102.95101928710938,105.17298752642205,102.78643183765305,105.03308128791457,8452500
2018-03-26,104.8355712890625,104.95901501098015,103.04154052920362,104.02908402593636,8358200
2018-03-27,104.68744659423828,106.24282754143417,104.0126279881773,104.60515286737404,7789900
2018-03-28,104.88497924804688,106.17701682798372,104.68747299803681,105.03311050520706,6868500
2018-03-29,105.46102142333984,105.96302134921187,104.36650286169638,105.31289647335393,6119400
2018-04-02,102.50664520263672,105.23883882386828,101.66723900443489,105.18946383532992,8916900
2018-04-03,105.62564086914062,105.74085337050177,102.605409501715,103.01688451475066,8035000
2018-04-04,107.32087707519531,107.90516435021375,104.01261565159801,104.43232177101729,7717100
2018-04-05,107.56779479980469,107.97103224359533,106.57201982299992,107.32090730035377,5621700
2018-04-06,105.41989135742188,107.51017866042423,104.02910396258869,107.16454119570193,6399300
2018-04-09,106.55555725097656,107.92165719761955,105.07425109089046,105.87250727765506,6395800
2018-04-10,107.18922424316406,107.73237418972185,106.39918681569648,107.18922424316406,6019300
2018-04-11,106.67900848388672,107.27153346605604,106.18523347967229,106.27575847853761,4575400
2018-04-12,107.33734893798828,108.0615488649819,106.86827402689023,107.05754898700215,4559800
2018-04-13,107.49372100830078,108.15208349540922,106.67900857503683,107.88050849858124,4742300
2018-04-16,108.4318618774414,109.35357419872487,108.03684948672992,108.14383697977954,6379600
2018-04-17,107.42786407470703,108.79396379087383,106.00416440084139,108.71990132073915,11008700
2018-04-18,105.10714721679688,106.9011717150345,104.46524739107727,106.72835929276536,9383600
2018-04-19,104.96724700927734,105.55977185578682,104.42409714044081,105.03307821997174,5959500
2018-04-20,104.2348403930664,105.58447776620876,103.8315904096862,105.3375902775519,7743900
2018-04-23,104.37474060058594,104.76152807030618,103.51064066701477,104.41588432971191,7501900
2018-04-24,103.84805297851562,104.89319662000922,103.12385302666841,104.46526542187104,6577500
2018-04-25,104.31715393066406,104.39121642415348,103.09918504930339,103.61764761817264,5859600
2018-04-26,105.34581756591797,106.34159252101948,104.20192392731605,104.20192392731605,8211100
2018-04-27,105.5597915649414,105.98771648948316,104.92611659965148,105.11539784708619,4266800
2018-04-30,104.09493255615234,106.14407607794455,104.09493255615234,106.04532610686657,8219400
2018-05-01,103.69993591308594,104.2183921760597,102.8440671212329,103.95504841538263,5122600
2018-05-02,101.63429260253906,103.83979815064538,101.38740516979406,103.29664831004966,7390800
2018-05-03,101.24751281738281,101.79066269872853,99.80735066840752,101.4697127792456,7282900
2018-05-04,102.2021484375,102.46549215009723,100.2352987105936,100.893654852782,6127600
2018-05-07,101.70836639404297,103.06623486817101,101.48617270270988,102.16099131162196,6707900
2018-05-08,100.90189361572266,101.62608730958527,100.1447811705104,101.10763110270055,5951800
2018-05-09,101.64253997802734,102.08693366028248,100.83604634461412,101.21460253054792,6808600
2018-05-10,103.15675354003906,103.73282215249364,102.04577259413112,102.22682255008517,4948000
2018-05-11,104.71212768554688,105.00839010704084,103.49416553372369,103.50239051088126,5716700
2018-05-14,103.7410659790039,105.0166408796406,103.36250976532179,104.8026721402169,6101600
2018-05-15,102.9757308959961,103.55179966123947,102.37498091402296,103.31314340860281,5875700
2018-05-16,103.15675354003906,103.60937842992419,102.86872237311604,103.23082228502415,3818100
2018-05-17,101.9223403930664,103.35427141235813,101.6754591986281,103.27197768087869,6473400
2018-05-18,102.24329376220703,102.40788750928292,101.4532626120712,101.86473756184671,5433900
2018-05-21,101.81536865234375,102.860512324549,101.48618741715923,102.55602486185644,5558700
2018-05-22,101.1487808227539,102.24329947860787,101.02533707519765,101.88120577201528,7172700
2018-05-23,101.59317016601562,102.02110766172353,101.00887644718478,101.11586396041672,4940800
2018-05-24,100.60563659667969,101.54379908596727,100.02957411329614,101.40389909408987,6923600
2018-05-25,100.70512390136719,101.80776651138949,100.42324243838608,100.77973567601826,4594800
2018-05-29,98.98898315429688,100.14965924885438,98.34232247559115,99.90094068388639,9821900
2018-05-30,100.29058837890625,100.79631144666116,99.1050417926378,99.58589427102368,6423700
2018-05-31,99.17137145996094,100.5227262449954,99.1050456689324,100.24913710088441,10337500
2018-06-01,100.53101348876953,100.58075466694885,99.46153388168766,99.80144247453835,5741000
2018-06-04,101.10306549072266,101.4512727461444,100.33204553079199,101.02016141092733,4853000
2018-06-05,100.71339416503906,101.6087668907721,100.23254174971748,101.18595427660007,5125400
2018-06-06,101.7994384765625,101.7994384765625,100.69679625354216,101.11961513702622,6799300
2018-06-07,102.24716186523438,102.37980712601366,101.36836092122161,101.97357271308391,7414100
2018-06-08,102.85234069824219,103.50729350264932,102.24713538827395,102.27200597290633,6208100
2018-06-11,101.6916732788086,103.08447664743521,101.6004769165522,103.02644317374244,5571400
2018-06-12,101.59220123291016,102.12279488638112,101.1030564530438,102.10621660197432,5227300
2018-06-13,101.66680145263672,102.87721848245505,101.52586391307403,102.09791270034846,5836900
2018-06-14,101.48442077636719,102.0979184671907,101.21911763960577,101.73313297931865,5239200
2018-06-15,101.65023803710938,101.7497267223263,100.51443260029087,101.2274190314068,13173500
