Price,Close,High,Low,Open,Volume
2018-02-15,168.0379180908203,168.0475320131833,164.83472061466975,167.32609153687218,3915000
2018-02-16,168.96141052246094,169.9425740100925,167.50891515883157,167.71092501836563,4213100
2018-02-20,168.67283630371094,169.7116979630965,167.41270759078844,168.22073230483565,3750100
2018-02-21,165.75820922851562,169.63474911046043,165.7197241746727,168.67282825285136,5999500
2018-02-22,166.3641815185547,167.21067642832475,164.29605789224695,166.73933000306732,5605800
2018-02-23,169.0671844482422,169.08642697286444,165.92171418767794,167.2780112797603,3093800
2018-02-26,171.0968780517578,171.35660082314635,169.3558034463829,169.7790510211645,4088100
2018-02-27,169.23072814941406,172.34735698840188,169.23072814941406,170.95257469100437,3815900
2018-02-28,169.0671844482422,172.15495649043106,169.0575705248039,169.57700126763928,4145700
2018-03-01,166.88363647460938,170.59665116279592,165.594651512413,169.63473041122165,4658500
2018-03-02,168.35540771484375,168.6536008590195,162.82436228729733,165.02715479066723,4190100
2018-03-05,171.7317352294922,172.44356197171675,166.32574452734133,167.4992891867599,4826500
2018-03-06,170.76980590820312,173.23232091531474,170.21189005850638,172.35696942642434,3820900
2018-03-07,172.38583374023438,172.86679414222652,168.86520007499266,169.06719522429123,2766100
2018-03-08,172.42431640625,173.03994517757803,170.79866778318518,172.520514364605,2235300
2018-03-09,176.26235961914062,176.34892896206873,173.11687472637718,173.38621135620602,4168900
2018-03-12,175.58900451660156,176.53169740492083,174.7809946218241,175.86796974930166,3589000
2018-03-13,174.11727905273438,176.73370480789376,173.2900265760627,176.48361068341035,3286600
2018-03-14,173.26121520996094,175.0696314848161,172.78025468390376,175.0600175582851,2820700
2018-03-15,174.05960083007812,175.23314561631284,173.16502135148502,173.69408083343504,2258200
2018-03-16,175.59866333007812,176.19504959153676,174.11729692369954,174.11729692369954,4605000
2018-03-19,173.7036895751953,175.35819480877868,172.28966458279848,174.8676057229987,3770000
2018-03-20,175.5601806640625,176.27200742414394,174.31930914367888,174.4058785032467,2859300
2018-03-21,173.86720275878906,176.51248523506385,173.85758883377375,175.9930544070227,3238400
2018-03-22,168.83633422851562,173.3958291918849,168.44194319817268,172.37619554484866,4387300
2018-03-23,165.28683471679688,170.13490855944198,165.12330996004195,169.47118093171937,4324100
2018-03-26,170.42349243164062,170.71207158358013,166.46999767998204,168.65356182710494,5470100
2018-03-27,165.95057678222656,171.70285892669654,164.45959664031105,171.56819060484426,5069100
2018-03-28,163.86325073242188,166.34499403403672,162.1317899703361,165.690894789332,5166600
2018-03-29,168.4900665283203,169.93294786257752,164.315333390529,165.18105631998412,3719200
2018-04-02,165.0656280517578,169.07683633992312,162.60309828199235,167.98986105409196,4222400
2018-04-03,165.90248107910156,166.3064860526247,163.34376823570844,165.7966692042922,3612600
2018-04-04,167.07601928710938,167.38382629812884,161.54497491266437,162.73774726226551,4628300
2018-04-05,169.10569763183594,170.6832473251692,167.89366790066347,168.46121238835053,3434100
2018-04-06,163.470458984375,168.72039132741634,162.7576331421086,167.0057347412289,5005500
2018-04-09,164.08692932128906,167.69926933645647,163.89427412687664,164.98279728834814,3910700
2018-04-10,168.30616760253906,169.00936576193658,165.70528541548384,166.78416639413766,3149900
2018-04-11,166.03280639648438,169.1538739461775,165.80161130806772,167.3236125681782,2783000
2018-04-12,168.38320922851562,170.00153047159185,166.80341314418692,166.96717079149948,3065600
2018-04-13,167.87269592285156,169.63551989365152,166.36032227464094,169.5391849318433,3059600
2018-04-16,167.48733520507812,169.6354838682584,166.62037952752488,169.17309378815818,4668200
2018-04-17,171.7932586669922,172.61206163552603,168.25798358741625,169.31760922920716,4210200
2018-04-18,172.87216186523438,173.1996771876378,170.5698975952688,171.94739629172156,3150600
2018-04-19,172.4386749267578,172.97813010319942,171.71620685143407,172.506112335807,3560400
2018-04-20,170.57952880859375,172.90106305785253,170.0208184063665,171.97629746483665,4233000
2018-04-23,168.99009704589844,171.80291910101948,168.2868988814437,171.61989149825635,4355000
2018-04-24,166.8805389404297,171.03232081876982,164.90578944112673,170.1942476496226,5369000
2018-04-25,166.13873291015625,167.48733388654418,164.38553694220371,167.00568858088445,3396200
2018-04-26,171.61988830566406,173.03592692331435,167.82452029365726,168.1135104663993,4784400
2018-04-27,169.48135375976562,172.4290207004022,168.7492434826178,171.98590054851542,3781000
2018-04-30,171.725830078125,173.39231880434505,170.59878176973464,170.9744645391981,4323900
2018-05-01,173.6331329345703,173.73909548991045,170.41574581591323,171.7258216370964,4828300
2018-05-02,178.9987335205078,181.33952350158893,176.3978361655462,179.36477409079177,10133100
2018-05-03,179.63441467285156,180.9926578535285,177.18766318378522,177.82343846392936,5785700
2018-05-04,181.26242065429688,181.85965622228764,178.31475327870947,178.96978394055088,3593600
2018-05-07,182.15823364257812,182.56281387588766,180.7421954766717,181.3875983273307,4077300
2018-05-08,183.53575134277344,183.66098382058843,181.1178973007336,181.95595539405522,3396400
2018-05-09,183.63211059570312,184.6435540704127,182.0619420532632,183.51650571677808,2933900
2018-05-10,185.96328735351562,186.60869040996883,183.93074322704027,184.0270634855052,2821200
2018-05-11,186.25222778320312,186.96505336034002,184.9903048560765,185.91507022199468,3301700
2018-05-14,185.06739807128906,187.5719596826591,184.5568551941377,186.39674389410152,2877200
2018-05-15,184.95181274414062,185.14446794268588,183.16971908563573,183.99814966816484,2747500
2018-05-16,185.31787109375,185.8284139930571,184.41237547651866,185.6164888614221,2109300
2018-05-17,184.1811981201172,185.37568400427915,183.5935901438526,185.0000011800215,2378300
2018-05-18,183.4105224609375,185.03848590986019,183.4008948465505,184.5857381566575,4208500
2018-05-21,184.1811981201172,185.75136682853676,183.03487971571158,184.47018830000408,2632600
2018-05-22,184.5857391357422,185.56829965839887,183.8343736474306,184.16188892210016,2620200
2018-05-23,185.9054718017578,185.91509941694966,183.3142175461833,183.738067793011,2529900
2018-05-24,184.86514282226562,186.3004367216211,183.02525384801194,185.828433631992,2912900
