Price,Close,High,Low,Open,Volume
2018-01-02,81.63468170166016,81.68008805087963,79.59154777496171,79.81855783703367,16185981
2018-01-03,82.40653228759766,83.26919510365431,81.86169946188572,83.08758416175034,17000180
2018-01-04,84.13184356689453,84.54047176557756,83.0875771253774,83.45079897842545,17225995
2018-01-05,84.17726135253906,85.67556254199901,83.9956504013334,85.63015619019316,16667865
2018-01-08,82.99679565429688,84.90371816204807,82.17953902068352,84.76751354178583,17130657
2018-01-09,84.26807403564453,84.72210145249191,82.22493258980754,83.22380013488129,13855205
2018-01-10,85.94795227050781,86.5381912925827,84.3588460990744,84.40424520876888,17177522
2018-01-11,86.3565902709961,88.03650208189053,86.26578481321862,87.31005119166329,20808952
2018-01-12,85.17613983154297,86.9468576768918,84.90371614148175,86.8106458318612,18169606
2018-01-16,82.678955078125,84.04104435640451,81.54387586088644,83.1783887772286,42912819
2018-01-17,78.7742919921875,80.36339858043316,78.36566375772335,80.13638128839563,39131904
2018-01-18,76.14092254638672,79.36453500008757,76.09551619458398,79.00131309770124,35944841
2018-01-19,73.82535552978516,75.95929477895412,72.73568273216509,75.59607292241675,44851332
2018-01-22,73.41674041748047,74.14319148809038,71.7368281894526,72.19085559107799,28005019
2018-01-23,76.68576049804688,77.32140609748964,73.87076888338514,74.00698071983983,25714786
2018-01-24,74.64262390136719,78.81970483322931,73.77996101178081,77.18519176075756,34850262
2018-01-25,73.46211242675781,75.45984671250959,73.23510242374536,74.91501403167179,19834813
2018-01-26,73.23509979248047,73.37130434379293,72.32703812903664,73.23509979248047,18965005
2018-01-29,73.9161605834961,74.5972051747261,72.50866505521705,72.73568232829636,15469060
2018-01-30,72.41785430908203,73.8707488491911,72.41785430908203,73.09889885063339,14242064
2018-01-31,73.41674041748047,73.87076781910588,72.59948386654548,72.9173066616879,16018822
2018-02-01,72.73568725585938,73.14431548388195,72.28165267894165,72.9172981954231,11022366
2018-02-02,71.0103759765625,72.32706626210964,70.82876501883375,72.1454553043809,17171805
2018-02-05,67.6959457397461,70.96496442336263,67.6959457397461,70.28391976777692,25715850
2018-02-06,69.33045959472656,69.6482823655908,66.78789188383013,67.28732560147144,26462505
2018-02-07,69.23963928222656,70.46552375225912,69.23963928222656,69.51205564400918,15859821
2018-02-08,65.60741424560547,69.05805156568567,65.60741424560547,68.96724608126351,28928098
2018-02-09,67.8321533203125,68.24078153371286,64.60853396037997,66.69707414664393,26929053
2018-02-12,67.2873306274414,68.74022553818945,67.10571243908981,68.37700361750476,15771182
2018-02-13,66.60626220703125,67.15110218128457,65.97062400307773,66.92408492301173,15378459
2018-02-14,67.65055084228516,68.24079006251925,66.47007240181698,66.69708248251612,17926577
2018-02-15,67.42353057861328,68.74022079220177,67.06030868300628,67.78675247422028,11452419
2018-02-16,68.33158111572266,69.14883747214357,67.24190838316396,67.42351930058915,13505612
2018-02-20,66.9240951538086,67.96836891909756,66.37926232427323,67.7413516261202,12867294
2018-02-21,65.78901672363281,66.87868950435511,65.60739857017255,66.7878840416289,20472151
2018-02-22,66.37928009033203,68.4224145899365,65.78904075302337,65.97065174480903,16379390
2018-02-23,66.3334732055664,67.15748575747517,66.3334732055664,66.51658710599058,11040854
2018-02-26,67.0659408569336,67.20327995083998,63.86142516028239,65.87569300250048,30302034
2018-02-27,66.37926483154297,69.49222378984747,66.37926483154297,67.15750274916229,19410582
2018-02-28,64.5938949584961,66.92861607289994,64.50233798222804,66.8370590966319,18490403
2018-03-01,64.18187713623047,65.28056800600528,63.86142411424895,64.82278318019351,19170976
2018-03-02,64.6396484375,65.1889974013605,63.952967698543155,64.04452464454906,15572368
2018-03-05,66.01303100585938,67.06593974899185,64.63966195296382,64.91434013623886,18247395
2018-03-06,67.02014923095703,67.1574810026392,66.42502545280132,66.83703534349756,12124707
2018-03-07,66.42503356933594,66.79126138900459,64.91433288146415,66.28769449304733,17318787
2018-03-08,66.47081756591797,67.02016665897474,65.96725060054374,66.37926059837963,10348638
2018-03-09,68.3935317993164,68.43931392923434,66.4250459693871,66.92861295934891,13386967
2018-03-12,69.12600708007812,70.17891608817662,68.48510087492015,68.75977183948997,14653629
2018-03-13,66.05878448486328,67.47792791754995,65.64677463099785,67.24903193477489,24772029
2018-03-14,65.32634735107422,66.79126601912603,65.18900826526495,66.19614212699626,11907699
2018-03-15,65.73833465576172,66.60812913180064,65.28054271945005,65.50943868760588,9895779
2018-03-16,65.50947570800781,66.01304274982981,64.914351684748,65.64680753625062,23889514
2018-03-19,64.41075897216797,65.37211053803468,64.09030602093742,65.28055359308665,13810133
2018-03-20,62.4422721862793,64.59387881025295,62.350715232900164,64.54809668965056,18554546
2018-03-21,63.540958404541016,63.90719347988794,62.12182208398144,62.533831988856036,13592791
2018-03-22,61.11468505859375,63.12894883231525,60.9773496375494,62.94583493758946,14862500
2018-03-23,59.832889556884766,61.572482751615695,59.603993509946434,61.343586704677364,17536442
2018-03-26,59.00886535644531,60.6111229936433,58.27640607575101,60.56534451634446,22000434
2018-03-27,61.526710510253906,62.80852274874757,58.68842968117024,59.14621456075554,32336072
2018-03-28,62.62540817260742,63.861438410745976,59.924462520011055,61.89295228733557,29025877
2018-03-29,61.70982360839844,62.53384357076457,61.114696055626666,62.16760842758714,15548310
2018-04-02,60.06178283691406,61.98449362605312,59.32932349262513,61.572483650678585,15041824
2018-04-03,60.1075553894043,60.15333386616236,58.5968547246496,60.06177691264622,12474884
2018-04-04,60.79424285888672,60.885803466367506,58.551082675828376,58.68842176509295,11929712
2018-04-05,61.48093032836914,62.076054264074436,60.29068245695854,60.84002790867985,11168889
2018-04-06,59.787113189697266,61.664041892590966,59.19198563296829,60.97736101532871,13242927
2018-04-09,58.73419952392578,60.24490033593534,58.68842104270548,59.97022580470034,14258423
