Price,Close,High,Low,Open,Volume
2018-02-21,144.62637329101562,147.600729806236,144.59031264966828,145.64485948284542,1628600
2018-02-22,144.50018310546875,146.0143999104574,144.13063718766634,145.18518398109154,1511700
2018-02-23,146.87066650390625,146.96080435817368,144.5001949714559,145.20322622480384,1577200
2018-02-26,148.48403930664062,148.56515512142283,146.8436239244833,147.65482333162123,1782800
2018-02-27,146.51014709472656,149.24115637505415,146.51014709472656,148.53812510010482,1820800
2018-02-28,145.1221160888672,148.16859443008363,145.0680388703072,146.82561723904456,2002200
2018-03-01,140.7416534423828,145.64485528843394,140.49830600926893,145.36544721501122,3005400
2018-03-02,141.95843505859375,142.07561150122257,139.42571851296557,139.89441053037723,2960100
2018-03-05,143.1752471923828,143.9053170458351,141.49878488874572,141.661016521466,1936800
2018-03-06,142.43617248535156,144.34697418447416,141.489779920993,143.46368087585617,2352500
2018-03-07,142.90484619140625,143.27439213365722,141.07516055444376,141.48976167000376,3176200
2018-03-08,142.85977172851562,143.6889876806051,142.44515687591846,143.31944175267574,3093200
2018-03-09,145.57276916503906,145.86119931750028,143.49973589492726,143.89630672490148,2988000
2018-03-12,145.73501586914062,146.70844701275442,145.1311307042621,146.0144239861479,2105000
2018-03-13,146.45611572265625,148.08750967266928,146.06853931981257,146.1226165497186,2742200
2018-03-14,145.11306762695312,147.09597635943362,144.5902984037631,146.6993918623168,2214800
2018-03-15,146.78955078125,147.3573890066673,145.01394232526462,145.37446623635475,1840300
2018-03-16,145.0139617919922,147.17713305512908,145.00495350659264,146.5642395733797,4018600
2018-03-19,144.77061462402344,145.56378391570445,143.64395994975328,144.7165374001559,1890000
2018-03-20,146.80763244628906,147.05097998248417,145.0680702717872,145.0680702717872,2249400
2018-03-21,146.0414581298828,147.56469717601905,145.95132027091014,147.09600506495258,3452600
2018-03-22,135.4058380126953,142.355048888452,134.95517622123035,141.28247162426834,8203600
2018-03-23,132.81004333496094,137.42481595268828,132.63878964353464,136.3973075572378,4039800
2018-03-26,137.7672882080078,138.05570454652252,134.2971875911559,134.2971875911559,4231000
2018-03-27,134.17105102539062,138.49740768089802,133.21565007189244,138.10983132530217,3212000
2018-03-28,132.86410522460938,135.51399861061716,132.8010059758446,134.9100997411181,2965700
2018-03-29,138.35317993164062,138.35317993164062,133.2336682138376,133.65727767542745,3595900
2018-04-02,133.37786865234375,136.83896188894875,132.0439135134533,136.83896188894875,2845800
2018-04-03,134.10792541503906,134.27017080621297,131.63830768152079,133.8375393515925,2363300
2018-04-04,135.17152404785156,135.6311942097768,131.64734488043123,132.21518324459868,2161100
2018-04-05,136.61361694335938,137.06427871792516,135.2075406541052,136.18999377501908,3336300
2018-04-06,132.8370819091797,135.91058505637653,131.76450458156393,135.10840757025247,1927200
2018-04-09,133.6212158203125,135.58609455095174,133.4048932179507,133.63022410466286,1465800
2018-04-10,137.0462646484375,137.6681801715884,135.05433331726636,135.18954011753385,2257400
2018-04-11,134.93670654296875,136.2733448953543,134.71848893406758,135.84598357863422,1734900
2018-04-12,136.47340393066406,137.4190599350985,135.41863910820575,135.645958395401,2005600
2018-04-13,136.50978088378906,137.67365450805042,135.90056686753258,137.30084755237363,1607800
2018-04-16,137.6827392578125,138.25558828079718,136.82801654874575,137.71001646133865,2151600
2018-04-17,140.2468719482422,140.56511053379253,138.2828305438154,138.8011111543239,2702300
2018-04-18,141.41078186035156,141.5744450825231,139.4285505202001,140.34692929283312,1975700
2018-04-19,140.56515502929688,141.12891631193787,139.68315506036794,140.93796200059023,1512900
2018-04-20,138.58294677734375,140.7106521783095,138.12830815964324,140.0468836813182,2302000
2018-04-23,139.15577697753906,139.53768561215395,138.31015583888808,139.32854186594363,1533000
2018-04-24,137.36448669433594,140.33781257360957,136.25516761494592,139.6376792546489,1922600
2018-04-25,136.47340393066406,137.7554880403176,134.96400053381527,137.7554880403176,2040200
2018-04-26,138.47384643554688,139.2376499812214,136.93717931412883,137.23722864073068,1634600
2018-04-27,138.56471252441406,139.09209481528364,137.4735829697889,138.47377928050153,1179500
2018-04-30,137.48269653320312,139.35580516364993,137.46450710611566,139.27397355345784,1504700
2018-05-01,138.13735961914062,138.16463681907356,136.50065825083422,137.38265804724196,1204800
2018-05-02,137.0371856689453,138.29197888707287,136.76439970866704,137.95555073159616,1642100
2018-05-03,137.96463012695312,138.24650384814169,135.60960543276613,136.66437034870413,1725000
2018-05-04,139.5194854736328,139.9923134675293,136.70982246321583,137.03716278599524,1504100
2018-05-07,138.48289489746094,139.19212987322655,138.06462135752577,139.07391941911013,2057000
2018-05-08,138.15557861328125,138.66477162029977,137.32813303964167,137.61910840049163,1770100
2018-05-09,140.59237670898438,140.91971691739437,138.39192848140846,139.028419477077,1515300
2018-05-10,142.33822631835938,142.75649987498787,140.4196511472264,140.92885796056845,1299400
2018-05-11,142.82925415039062,143.32025769893605,141.6835699541393,142.3382367273772,1211600
2018-05-14,141.45623779296875,143.34752185365147,141.21981687953334,143.0474726356964,1636700
2018-05-15,140.09231567382812,140.7560840066727,139.46491231664012,140.6924279561911,1774500
2018-05-16,140.10142517089844,140.9834251178288,139.71953043219688,140.4833199096,1946900
2018-05-17,140.87425231933594,141.59258878324226,139.86496835961864,140.40143835833234,1615300
2018-05-18,141.2198486328125,141.78359609259383,140.59244510526497,140.93797490292184,1517400
2018-05-21,142.7019500732422,143.13839919571637,141.8654168074719,141.8654168074719,1653000
2018-05-22,141.238037109375,143.14751101242325,141.0743599894167,142.72925124652832,1757100
2018-05-23,141.2198486328125,141.90180657589116,140.1105292687803,141.20165920281218,1738000
2018-05-24,141.47439575195312,141.89266924907997,140.65605205581303,141.69262721234082,1911100
2018-05-25,141.8381805419922,142.2837175692355,140.98345760270786,141.29260857558518,1314900
2018-05-29,139.6103973388672,141.15617948086754,138.81024293977822,140.90158300736644,2047300
2018-05-30,141.87451171875,142.33823806754617,140.5105960022656,140.75610471608388,1577800
2018-05-31,141.61085510253906,142.55649741251466,140.8561532604521,141.84726221141526,2767100
2018-06-01,144.4750213623047,144.82963883582212,142.3564042963538,142.7019339947175,1808800
2018-06-04,144.96603393554688,145.48432851562785,143.7203288124612,144.25679894399053,1481800
2018-06-05,145.41163635253906,145.8117206180254,144.6205694749913,144.72059054136287,1756500
2018-06-06,147.94845581054688,147.98482078308692,145.6297968574857,146.00260372972943,1771300
2018-06-07,146.03903198242188,148.07581818884634,145.12066687735148,147.97579712793998,1841800
2018-06-08,147.45751953125,147.60300725029148,146.03904895677667,146.12998224979575,1725200
2018-06-11,147.98486328125,148.7850316515716,146.8755439949292,146.8755439949292,1978400
2018-06-12,148.06668090820312,149.1305334594212,147.7120633911304,148.61225272268462,2881300
2018-06-13,148.23036193847656,149.3487689259477,147.85755498449686,148.29400412299108,2357600
2018-06-14,147.99391174316406,149.07595353618115,147.43016447263693,148.51220626565402,1914400
2018-06-15,148.6486053466797,148.84864740373106,146.06626190497377,147.15739156877535,8561500
2018-06-18,148.1030731201172,148.19399251441936,146.26632931179967,147.30290475323255,1789800
2018-06-19,148.4940643310547,148.5213415383865,146.6664220674751,147.41202219199403,2574400
2018-06-20,147.09376525878906,148.54860034264078,146.99374421947374,148.2121722442474,2026800
2018-06-21,145.51161193847656,147.2392328636757,145.14790665142434,146.73003991201566,2034200
2018-06-22,145.14793395996094,145.9390007390901,144.06589179687117,145.9390007390901,3623900
2018-06-25,141.9927520751953,143.7203734632662,141.25623965318118,143.6567312644911,3134500
2018-06-26,142.6291961669922,143.2929645172351,141.9927050178232,142.32913308071255,2164000
2018-06-27,141.24713134765625,144.3023036067454,141.21076636070765,142.9020226804618,3191900
2018-06-28,149.5760955810547,150.5399271685313,145.21156235759523,145.92989909695746,5801100
2018-06-29,148.74859619140625,150.539872691405,148.23940337658777,149.29416784983383,3370000
2018-07-02,148.42129516601562,148.5940600326232,146.6663970461963,147.21195497423,2279400
2018-07-03,148.52134704589844,150.41264544636567,148.2303855320797,149.03964175336168,1919100
2018-07-05,149.84886169433594,149.8943283220568,148.3576478765726,148.8486513823442,2427900
2018-07-06,149.5851593017578,150.1852854717959,148.22124375592566,149.82158020936055,1840400
2018-07-09,151.05819702148438,151.17639360042466,150.0307095405592,150.0307095405592,1651600
2018-07-10,151.3582763671875,152.54942718129746,151.2491536775242,151.39464134743002,2071000
2018-07-11,151.22186279296875,151.94019942659992,149.67609459484842,150.39441735401297,1307100
2018-07-12,152.7858123779297,152.8949211775135,151.8310687581738,152.32208610523267,1717000
2018-07-13,152.84039306640625,153.2132000283952,152.4221333464167,152.53124216476732,1420300
2018-07-16,152.4312286376953,153.18593037558506,152.19482156145847,152.89495501301454,1522800
2018-07-17,152.82225036621094,153.62240499691046,151.8493169451991,151.9220607978938,2315300
2018-07-18,151.28550720214844,152.2766157728112,150.9127003133601,152.2766157728112,2206500
2018-07-19,151.74925231933594,152.0947820518267,150.49444550089441,151.13095056063372,2055100
2018-07-20,151.41282653808594,151.84018788493393,151.23097389302598,151.47646872034656,1110200
2018-07-23,150.90362548828125,151.34916236361124,150.49443971575909,150.87633441224196,1783300
2018-07-24,150.18524169921875,151.41277088248196,149.4032631258763,151.24000607711548,2545500
2018-07-25,151.9219970703125,151.95836204417003,150.03069931701668,150.03069931701668,2285200
2018-07-26,150.18524169921875,152.85851760981876,150.0852207000309,152.2129250015223,2228000
2018-07-27,147.3210906982422,150.7126906512749,146.4936451451863,150.35807311060358,2704000
2018-07-30,144.95697021484375,147.68480182718437,143.73854209120418,147.52113859018908,2553200
2018-07-31,144.8751220703125,146.66639906804113,144.47503792622544,145.75712196764965,2722700
2018-08-01,145.2206573486328,146.7482362758251,144.65689609024403,145.7662153050009,2060600
2018-08-02,145.62071228027344,145.75711216083542,143.52028453960463,143.93855808240818,1774700
2018-08-03,145.82077026367188,146.33906489236958,144.53870004296274,145.92989295493183,1478500
2018-08-06,146.01171875,146.40270124423853,145.10244164771413,145.72984506820617,1135800
2018-08-07,146.57546997070312,147.2210628350805,146.39361732035402,146.55728054332783,1415700
2018-08-08,146.5209503173828,146.98467676693775,146.3027187605193,146.48458532847448,1123400
2018-08-09,146.0662384033203,147.06644852764614,145.97530516494007,146.51178907224076,1722100
2018-08-10,146.10264587402344,146.8209825925785,145.3752352532407,145.52981070388046,1354200
2018-08-13,145.69349670410156,147.21198811776185,145.52983345118423,146.148135350388,1590100
2018-08-14,146.61184692382812,146.9664644434731,145.38431726957455,145.56616991756496,2083200
2018-08-15,145.85714721679688,146.79370154729534,145.2661087597896,145.99353323600815,1669400
2018-08-16,148.11215209960938,148.4394924234852,146.85734521234065,147.1210433514321,1957000
2018-08-17,149.93067932128906,150.18527576342933,148.26670079800178,148.63950768630195,2717500
2018-08-20,150.1398468017578,150.61267483053854,149.8488853125251,150.33988889568548,1285800
2018-08-21,149.6761474609375,150.84910915587045,149.59431582804086,150.48540376001552,1291600
2018-08-22,149.95797729492188,150.81269998671556,149.43059491329456,149.74884744729175,1184400
2018-08-23,150.2125701904297,151.37644373783075,150.01252812373886,150.01252812373886,1299200
2018-08-24,150.83087158203125,151.6583030985622,150.03979116587948,150.8581487817814,1768200
2018-08-27,151.73106384277344,152.07659357742762,151.06729545072432,151.64923223439766,1406800
2018-08-28,152.45846557617188,152.6675953912408,151.4673570238177,152.19478136364717,1668500
2018-08-29,154.3679962158203,154.50438224787658,152.3493996945725,152.3493996945725,1370800
2018-08-30,153.33143615722656,154.3680117284283,152.87679750539297,154.17705738989116,1480000
2018-08-31,153.73150634765625,154.177043306093,152.94042573108962,153.4041659932592,2803300
2018-09-04,154.1224822998047,154.20431391628605,152.64945770526487,153.44961219053073,1676900
2018-09-05,153.34048461914062,153.93150916519807,152.3039093137155,153.71329154792986,1869000
2018-09-06,153.99517822265625,154.50437120523247,152.61307307390064,153.01315723863001,1813000
2018-09-07,153.73150634765625,154.27706435533847,153.17684668810762,153.54963980395954,1826600
2018-09-10,154.16793823242188,155.4863872794889,154.07700497077542,154.449811919271,1888500
2018-09-11,155.20449829101562,155.4954597255564,153.8769477239866,154.31341068749737,1963400
2018-09-12,154.89540100097656,155.51370293475435,154.13159748790767,155.20455196786546,1743300
2018-09-13,156.45933532714844,156.85940564280222,155.35001602706927,155.6318897407097,1586500
